,grid,obstacle,side,Quad,goal_dist,start_dist,wall_dist,center_dist,dVGC,sVGC,Moves,JIT,sVGCPrior
0,grid-000-l,obs-0,L,L,5,6,1,2,0.329181023,0.075779349,16,0.183466809,0.556913714
1,grid-000-l,obs-1,L,L,1,10,4,6,0.868473363,1,16,0.781150145,0.120067388
2,grid-000-l,obs-2,R,L,9,8,2,4,0.008547575,4.54E-05,16,0.123222047,0.531080095
3,grid-000-l,obs-3,R,U,15,2,4,6,0.009011397,4.54E-05,16,0.096159402,0.040011221
4,grid-000-l,obs-4,L,L,7,3,3,5,0.305526107,0.998964969,16,0.463027682,0.416695428
5,grid-000-l,obs-5,R,U,13,3,2,4,0.009408958,4.54E-05,16,0.193599998,0.668943441
6,grid-001-l,obs-0,L,U,1,11,4,6,0.010481003,4.54E-05,17,0.09,0.160034654
7,grid-001-l,obs-1,L,L,9,4,6,8,0.439079169,0.943236084,17,0.612997503,0.205844223
8,grid-001-l,obs-2,R,L,13,3,6,8,0.010106682,4.54E-05,17,0.157136818,0.037322369
9,grid-001-l,obs-3,R,NA,8,7,1,3,0.014723314,1,17,0.185626226,0.960001816
10,grid-001-l,obs-4,L,L,4,6,1,3,0.547819577,1,17,0.707357231,0.840029369
11,grid-001-l,obs-5,R,U,7,13,6,8,0.011728742,4.54E-05,17,0.163840065,0.239531972
12,grid-002-l,obs-0,L,L,4,7,1,2,0.01960439,1,18,0.366320928,0.641104638
13,grid-002-l,obs-1,R,L,7,5,1,3,0.378294301,1,18,0.39969047,0.839222833
14,grid-002-l,obs-2,R,U,14,2,4,6,0.012208722,0.923989215,18,0.219350982,0.400063616
15,grid-002-l,obs-3,L,U,7,7,3,5,0.013382638,4.54E-05,18,0.232230132,0.499986027
16,grid-002-l,obs-4,L,L,1,11,4,6,0.204320009,1,18,0.681097272,0.638802225
17,grid-002-l,obs-5,R,U,14,2,4,6,0.010330457,4.54E-05,18,0.090110795,0.02877559
18,grid-003-l,obs-0,L,NA,6,11,2,4,0.012611177,4.54E-05,16,0.091156251,0.199499628
19,grid-003-l,obs-1,L,L,8,8,3,5,0.011150936,4.54E-05,16,0.120844653,0.433650634
20,grid-003-l,obs-2,R,U,7,5,2,4,0.465020576,0.999994024,16,0.50541295,0.499989753
21,grid-003-l,obs-3,R,U,5,7,5,7,0.042280632,0.000345878,16,0.228523195,4.54E-05
22,grid-003-l,obs-4,L,U,1,13,4,6,0.26602947,1,16,0.61534847,0.16318909
23,grid-003-l,obs-5,R,L,11,3,1,3,0.010686314,4.54E-05,16,0.145550708,0.640036381
24,grid-004-l,obs-0,L,L,5,9,3,5,0.010847845,4.54E-05,15,0.209795981,0.639766818
25,grid-004-l,obs-1,R,L,1,7,3,5,0.856836997,1,15,0.562857972,0.200322318
26,grid-004-l,obs-2,L,L,2,10,4,6,0.011846988,4.54E-05,15,0,0.040043582
27,grid-004-l,obs-3,L,U,9,5,3,5,0.012275193,4.54E-05,15,0.151773228,0.451205836
28,grid-004-l,obs-4,R,U,10,2,4,6,0.01099058,4.54E-05,15,0.203295639,0.218537968
29,grid-004-l,obs-5,R,L,5,4,2,4,0.613402798,1,15,0.579056166,0.485355946
30,grid-005-l,obs-0,L,U,4,7,3,5,0.649254259,1,15,0.72256281,0.559960346
31,grid-005-l,obs-1,R,L,16,4,4,6,0.009896091,4.54E-05,15,0.113304035,0.20030203
32,grid-005-l,obs-2,L,L,10,8,2,4,0.010815014,4.54E-05,15,0.072002327,0.440555926
33,grid-005-l,obs-3,R,NA,13,1,1,3,0.011380505,4.54E-05,15,0.210538659,0.240021724
34,grid-005-l,obs-4,L,U,2,7,3,5,0.61539549,0.924014711,15,0.575305864,0.331466718
