,grid,obstacle,side,Quad,goal_dist,start_dist,wall_dist,center_dist,dVGC,sVGC,Moves,JIT,sVGCPrior
0,grid-000-l,obs-0,L,L,5,6,1,2,0.012247887,1,16,0.056694928,0.588901953
1,grid-000-l,obs-1,L,L,5,10,4,6,0.010517207,4.54E-05,16,0.099915974,0.180161335
2,grid-000-l,obs-2,R,L,1,8,2,4,0.793782866,1,16,0.733853659,0.433944926
3,grid-000-l,obs-3,R,U,8,2,4,6,0.013912002,4.54E-05,16,0.195718347,0.120303833
4,grid-000-l,obs-4,L,L,10,3,3,5,0.013512614,4.54E-05,16,0.234864558,0.562629102
5,grid-000-l,obs-5,R,U,5,3,2,4,0.60054583,1,16,0.403673809,0.640053277
6,grid-001-l,obs-0,L,U,5,11,4,6,0.008940767,4.54E-05,17,0.179071432,0.200302004
7,grid-001-l,obs-1,L,L,15,4,6,8,0.011424314,4.54E-05,17,0.222367857,0.314973659
8,grid-001-l,obs-2,R,L,9,3,6,8,0.055072644,0.001925569,17,0.314077453,0.105079033
9,grid-001-l,obs-3,R,NA,4,7,1,3,0.719483422,1,17,0.567676721,0.796968686
10,grid-001-l,obs-4,L,L,10,6,1,3,0.013411151,4.54E-05,17,0.275591042,0.880005448
11,grid-001-l,obs-5,R,U,1,13,6,8,0.842915684,0.993290469,17,0.522652932,0.188879748
12,grid-002-l,obs-0,L,L,4,6,1,2,0.469605487,1,18,0.497077649,0.679746272
13,grid-002-l,obs-1,R,L,7,12,1,3,0.009086113,4.54E-05,18,0.177881122,0.720290976
14,grid-002-l,obs-2,R,U,14,10,4,6,0.009848174,4.54E-05,18,0.121545716,0.240385826
15,grid-002-l,obs-3,L,U,7,2,3,5,0.251128437,1,18,0.421196346,0.377248881
16,grid-002-l,obs-4,L,L,1,9,4,6,0.844129199,1,18,0.874668068,0.722060288
17,grid-002-l,obs-5,R,U,14,7,4,6,0.008734392,4.54E-05,18,0.06538528,0.114950575
18,grid-003-l,obs-0,L,NA,6,3,2,4,0.464841154,1,16,0.390357825,0.200036318
19,grid-003-l,obs-1,L,L,8,2,3,5,0.016482786,1,16,0.425693249,0.476981158
20,grid-003-l,obs-2,R,U,7,13,2,4,0.009836501,4.54E-05,16,0.217145624,0.481754325
21,grid-003-l,obs-3,R,U,5,16,5,7,0.013957198,4.54E-05,16,0.086502158,0.000414478
22,grid-003-l,obs-4,L,U,1,8,4,6,0.882227835,1,16,0.819135009,0.283352481
23,grid-003-l,obs-5,R,L,11,8,1,3,0.011830387,4.54E-05,16,0.143727998,0.559105604
24,grid-004-l,obs-0,L,L,5,7,3,5,0.637582935,0.499650019,15,0.690923089,0.719764574
25,grid-004-l,obs-1,R,L,1,11,3,5,0.010915317,4.54E-05,15,0.216851257,5.15E-05
26,grid-004-l,obs-2,L,L,2,9,4,6,0.011557395,4.54E-05,15,0.006666667,0.00172552
27,grid-004-l,obs-3,L,U,9,1,3,5,0.291217807,1,15,0.491497449,0.65111272
28,grid-004-l,obs-4,R,U,10,6,4,6,0.012342156,4.54E-05,15,0.246604931,0.165518903
29,grid-004-l,obs-5,R,L,5,10,2,4,0.011842762,4.54E-05,15,0.242615628,0.357267666
30,grid-005-l,obs-0,L,U,4,9,3,5,0.011383039,4.54E-05,15,0.244768632,0.400565779
31,grid-005-l,obs-1,R,L,16,6,4,6,0.012521343,4.54E-05,15,0.114455119,0.402782917
32,grid-005-l,obs-2,L,L,10,1,2,4,0.359063745,1,15,0.312416069,0.541421321
33,grid-005-l,obs-3,R,NA,13,10,1,3,0.012592487,4.54E-05,15,0.044027414,0.311332164
34,grid-005-l,obs-4,L,U,2,7,3,5,0.828756403,1,15,0.843804903,0.220061118
35,grid-005-l,obs-5,R,U,7,13,3,5,0.009248719,4.54E-05,15,0.031416588,0.299986306
36,grid-006-l,obs-0,R,U,4,8,1,3,0.011021844,4.54E-05,16,0.191037368,0.058036488
37,grid-006-l,obs-1,L,L,13,6,1,3,0.012482571,4.54E-05,16,0.174045536,0.33803481
38,grid-006-l,obs-2,L,L,14,3,2,4,0.010955448,4.54E-05,16,0.33945479,0.670088289
39,grid-006-l,obs-3,R,L,7,5,2,4,0.360533829,1,16,0.756551975,0.440021615
40,grid-006-l,obs-4,R,U,2,11,4,6,0.240090299,1,16,0.371787941,0.100821235
41,grid-006-l,obs-5,L,U,9,11,4,6,0.009295532,4.54E-05,16,0.13217363,0.162700522
42,grid-007-l,obs-0,L,NA,12,9,2,4,0.007440872,4.54E-05,16,0.241708171,0.259746733
43,grid-007-l,obs-1,L,L,12,3,2,4,0.007972362,4.54E-05,16,0.28631414,0.773881009
44,grid-007-l,obs-2,R,U,4,5,1,2,0.411706086,0.499625022,16,0.366458719,0.439961794
45,grid-007-l,obs-3,R,U,1,8,3,5,0.791323412,1,16,0.750520325,0.419852418
46,grid-007-l,obs-4,L,U,7,10,3,5,0.005713526,4.54E-05,16,0.295899046,0.398137406
47,grid-007-l,obs-5,R,L,7,4,3,5,0.457082115,1,16,0.473269772,0.440019436
48,grid-008-l,obs-0,L,NA,13,9,2,4,0.005523391,4.54E-05,16,0.28618324,0.400027239
49,grid-008-l,obs-1,L,L,14,3,2,4,0.005989219,4.54E-05,16,0.319026484,0.459989585
50,grid-008-l,obs-2,R,NA,4,7,3,5,0.668862714,1,16,0.535019724,0.439961491
51,grid-008-l,obs-3,L,U,9,8,1,3,0.006055766,4.54E-05,16,0.329087385,0.596965597
52,grid-008-l,obs-4,R,U,3,8,3,5,0.773341319,0.999954461,16,0.496170855,0.490853435
53,grid-008-l,obs-5,R,L,8,2,1,3,0.494576429,1,16,0.450950176,0.519989977
54,grid-009-l,obs-0,L,NA,8,9,2,4,0.010560147,4.54E-05,14,0.130210515,0.320003056
55,grid-009-l,obs-1,L,L,3,8,1,3,0.009259259,4.54E-05,14,0.150943399,0.240292701
56,grid-009-l,obs-2,R,L,3,8,5,7,0.737832874,0.77704444,14,0.659620801,0.411084934
57,grid-009-l,obs-3,R,U,6,1,1,2,0.380624426,1,14,0.322633663,0.32002905
58,grid-009-l,obs-4,L,U,8,3,2,4,0.005356596,4.54E-05,14,0.182551803,0.420295614
59,grid-009-l,obs-5,R,L,2,5,1,2,0.80486685,1,14,0.706680146,0.400023597
60,grid-010-l,obs-0,L,U,11,8,4,6,0.014202348,4.54E-05,15,0.160348688,0.181755678
61,grid-010-l,obs-1,R,NA,7,4,2,4,0.287562399,1,15,0.541342938,0.419949469
62,grid-010-l,obs-2,R,L,2,8,1,3,0.644589749,1,15,0.770005667,0.626639514
63,grid-010-l,obs-3,L,L,5,16,5,7,0.012866484,4.54E-05,15,0.169050983,0.145293145
64,grid-010-l,obs-4,R,U,9,1,3,5,0.033677846,0.499650019,15,0.228797941,0.06002327
65,grid-010-l,obs-5,L,NA,7,11,1,3,0.009632286,4.54E-05,15,0.164225782,0.526667077
66,grid-011-l,obs-0,L,U,11,8,4,6,0.009051581,4.54E-05,16,0.133317776,0.361129268
67,grid-011-l,obs-1,R,NA,6,4,2,4,0.607853577,1,16,0.600408224,0.540004384
68,grid-011-l,obs-2,R,L,1,8,1,3,0.774242928,1,16,0.854050475,0.520553184
69,grid-011-l,obs-3,L,L,5,14,4,6,0.010515807,4.54E-05,16,0.12098767,0.013370651
70,grid-011-l,obs-4,R,U,8,1,3,5,0.271281198,1,16,0.441960126,0.738662046
71,grid-011-l,obs-5,L,NA,8,11,1,3,0.008918469,4.54E-05,16,0.111287763,0.553328407
