,grid,side,Quad,obstacle,goal_dist,start_dist,wall_dist,center_dist,dVGC,sVGC,Moves,JIT,sVGCPrior,RandomForgetsVGC,TargetForgetsVGC,SpatialsVGC,SpatialsVGC010,SpatialsVGC025,SpatialsVGC033,SpatialsVGC040,RandomForgetsVGC010,RandomForgetsVGC025,RandomForgetsVGC033,RandomForgetsVGC040
0,grid-000-l,L,L,obs-0,7,6,1,2,0.011968881,4.54E-05,16,0.103647848,0.369476278,4.54E-05,4.54E-05,0.17503734,0.140105447,0.195030842,0.275026981,0.185097471,4.54E-05,4.54E-05,4.54E-05,4.54E-05
1,grid-000-l,L,L,obs-1,5,10,4,6,0.012434337,4.54E-05,16,0.176686748,0.18002778,4.54E-05,4.54E-05,0.160036697,0.129885096,0.140038128,0.206302035,0.160036959,4.54E-05,4.54E-05,4.54E-05,4.54E-05
2,grid-000-l,R,L,obs-2,1,8,2,4,0.83722322,1,16,0.607509502,0.756976618,0.88,0.74,0.929942876,0.940008374,0.920073655,0.930073649,0.929947942,0.92,0.74,0.63,0.53
3,grid-000-l,R,U,obs-3,9,2,4,6,0.010838487,4.54E-05,16,0.173132693,0.080009222,4.54E-05,4.54E-05,0.090041312,0.095037108,0.155168118,0.135367839,0.14534345,4.54E-05,4.54E-05,4.54E-05,4.54E-05
4,grid-000-l,L,L,obs-4,12,3,3,5,0.013165769,4.54E-05,16,0.271958769,0.199673803,4.54E-05,4.54E-05,0.146521857,0.130029136,0.150007281,0.200695124,0.184870449,4.54E-05,4.54E-05,4.54E-05,4.54E-05
5,grid-000-l,R,U,obs-5,5,3,2,4,0.367311656,1,16,0.492027134,0.597262755,0.860006356,0.540017251,0.907164775,0.940002649,0.921422247,0.866214858,0.897869283,0.920003178,0.73000908,0.790005902,0.62000999
6,grid-001-l,L,U,obs-0,5,11,4,6,0.008940767,4.54E-05,17,0.137081529,0.160040836,4.54E-05,4.54E-05,0.143932166,0.060042674,0.181004411,0.174687897,0.231892427,4.54E-05,4.54E-05,4.54E-05,4.54E-05
7,grid-001-l,L,L,obs-1,15,4,6,8,0.011424314,4.54E-05,17,0.206149844,0.221917229,4.54E-05,4.54E-05,0.133223562,0.047431878,0.1632222,0.133225548,0.140120212,4.54E-05,4.54E-05,4.54E-05,4.54E-05
8,grid-001-l,R,L,obs-2,9,3,6,8,0.055072644,0.001925569,17,0.351446556,0.020043444,0.001266286,8.30E-05,0.062199896,0.032096173,0.128529071,0.182326153,0.18288522,0.001480275,0.001115872,0.001097071,0.00090398
9,grid-001-l,R,NA,obs-3,4,7,1,3,0.719483422,1,17,0.638792287,0.955580536,0.73,0.98,0.960001816,0.960001816,0.870005901,0.800009079,0.729944522,0.83,0.71,0.69,0.63
10,grid-001-l,L,L,obs-4,10,6,1,3,0.013411151,4.54E-05,17,0.255512234,0.840009082,4.54E-05,4.54E-05,0.160038134,0.060042674,0.230034956,0.200036318,0.260033594,4.54E-05,4.54E-05,4.54E-05,4.54E-05
11,grid-001-l,R,U,obs-5,1,13,6,8,0.842915684,0.993290469,17,0.51545701,0.221685713,0.566195129,0.188762032,0.889555096,0.946254821,0.810565179,0.738545609,0.634206461,0.705249432,0.586060053,0.496667982,0.36754612
12,grid-002-l,L,L,obs-0,4,6,1,2,0.354237487,1,18,0.528843131,0.766319383,0.780001362,0.710005447,0.914962114,0.964975751,0.825107022,0.785160856,0.725046019,0.920000454,0.770001816,0.730003632,0.65000454
13,grid-002-l,R,L,obs-1,7,12,1,3,0.012366663,4.54E-05,18,0.197618925,0.680074702,4.54E-05,4.54E-05,0.089280672,0.050043128,0.154271729,0.14502636,0.234262033,4.54E-05,4.54E-05,4.54E-05,4.54E-05
14,grid-002-l,R,U,obs-2,14,10,4,6,0.01312859,4.54E-05,18,0.098867144,0.337033582,4.54E-05,4.54E-05,0.070799015,0.050043128,0.121553543,0.12003995,0.182307607,4.54E-05,4.54E-05,4.54E-05,4.54E-05
15,grid-002-l,L,U,obs-3,7,3,3,5,0.089145469,1,18,0.394811192,0.59695437,0.680106353,0.440099386,0.960001816,1,0.920269357,0.820479367,0.778534718,0.780039134,0.590106807,0.530108624,0.41014269
