grid,obstacle,side,Quad,goal_dist,start_dist,wall_dist,center_dist,dVGC,sVGC,Moves,sVGCPriors,JITprob,JITnew,sVGCPriorNew,JITPriors,RandomForgetsVGC,RandomForgetsVGC025,RandomForgetsVGC010,RandomForgetsVGC040,RandomForgetsVGC033,TargetForgetsVGC,SpatialsVGC,SpatialsVGC025,SpatialsVGC010,SpatialsVGC033,SpatialsVGC040,JITRandom010,JITRandom016,JITRandom025,JITRandom033,JITRandom040,SpatialJIT,SpatialJIT025,SpatialJIT010,SpatialJIT033,SpatialJIT040
grid-000-l,obs-0,L,NaN,5,5,3,5,0.275296049,1,18,0.91667045,0.433774034,0.433774034,0.400023594,0.280472375,0.830001816,0.690006613,0.920002149,0.490014134,0.570008883,0.290024001,0.899580089,0.762694595,0.926538121,0.83301552,0.72735217,0.47706551,0.430533691,0.418862116,0.340239704,0.371855039,0.495905615,0.500003287,0.49965615,0.501753752,0.495627297
grid-000-l,obs-1,L,L,1,8,4,6,0.857955212,1,18,0.16839829,0.676851257,0.676851257,0.401400825,0.297441067,0.860001362,0.690002724,0.890000454,0.560005448,0.69000454,0.330007718,0.949997903,0.929410823,0.960139672,0.898549878,0.948838645,0.629284297,0.637369489,0.520618471,0.514439462,0.452701198,0.712054306,0.701602333,0.747023389,0.676585311,0.670098792
grid-000-l,obs-2,R,L,8,13,2,4,0.008031422,4.54E-05,18,0.41628321,0.317805109,0.317805109,0.640016274,0.492888624,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,0.010044488,0.02955284,0.020043578,0.020043578,0.020043578,0.189434245,0.176319357,0.149182502,0.133310549,0.098274657,0.161124018,0.157888096,0.180776607,0.139733681,0.122998346
grid-000-l,obs-3,R,U,14,5,4,6,0.009848751,4.54E-05,18,0.00012383,0.254041344,0.254041344,0.000576742,0.082170596,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.58E-05,4.66E-05,4.62E-05,4.62E-05,4.58E-05,0.135986263,0.115633726,0.093811614,0.070405885,0.054012997,0.145752748,0.138143584,0.153551451,0.129316496,0.13888365
grid-000-l,obs-4,L,U,8,2,3,5,0.372786962,1,18,0.99999891,0.52433273,0.52433273,0.513954527,0.347994183,0.840001816,0.740001816,0.860000454,0.550003178,0.610003178,0.480006355,0.929740225,0.892388933,0.973465706,0.877279344,0.798074742,0.508328137,0.479161109,0.448248962,0.426576615,0.351155866,0.482923842,0.461174617,0.500180761,0.444454834,0.470305435
grid-000-l,obs-5,R,U,12,8,2,4,0.010786728,4.54E-05,18,0.5000227,0.287892181,0.287892181,0.520040254,0.370362237,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,0.010044944,0.030044036,0.02004449,0.010178594,0.010178596,0.248709959,0.224378408,0.179946103,0.139797675,0.115503565,0.222023721,0.201521961,0.246804164,0.182209598,0.165046161
grid-001-l,obs-0,L,U,5,10,4,6,0.252526976,1,24,0.75001135,0.479961962,0.479961962,0.972614606,0.351932342,0.612289041,0.433655187,0.793795094,0.262148261,0.305174998,0.990000454,0.926408464,0.795177154,0.931284302,0.804605994,0.706843093,0.189636862,0.171351198,0.133409868,0.110018732,0.090605636,0.318430935,0.407630132,0.30189017,0.428687768,0.465590509
grid-001-l,obs-1,L,L,15,3,6,8,0.16287798,0.99328376,24,0.99328683,0.484260468,0.484260468,0.760977377,0.460107658,0.66551524,0.367543772,0.784703784,0.208625614,0.248355148,0.814501095,0.805022252,0.696505707,0.874461441,0.731029981,0.566424457,0.249051001,0.225655348,0.15688231,0.141318044,0.131204335,0.353732103,0.387017012,0.340634232,0.369056916,0.387157934
grid-001-l,obs-2,R,L,9,4,6,8,0.007804836,4.54E-05,24,4.54E-05,0.248083899,0.248083899,4.54E-05,0.051452063,6.80E-05,6.46E-05,5.44E-05,7.48E-05,7.14E-05,4.54E-05,4.65E-05,5.16E-05,4.54E-05,0.000541885,0.020536763,0.098642127,0.08792812,0.088557818,0.081127442,0.080133036,0.146719223,0.179984102,0.128842634,0.176898424,0.205438007
grid-001-l,obs-3,R,NaN,4,9,1,3,0.382735531,1,24,0.62501608,0.435954003,0.435954003,1,0.474891088,0.78,0.77,0.92,0.6,0.68,1,1,1,1,1,0.980000908,0.431044243,0.44516461,0.384645928,0.352819346,0.332014575,0.531247581,0.588993976,0.5113138,0.552957591,0.627235578
grid-001-l,obs-4,L,L,10,5,1,3,0.388749094,1,24,1,0.537402024,0.537402024,1,0.683519956,0.740009988,0.560010442,0.860003632,0.360018159,0.410014527,1,0.990000454,0.880005448,0.990000454,0.890004994,0.815237449,0.480521452,0.524911249,0.381701528,0.372727461,0.326327538,0.620143808,0.675748018,0.616032948,0.615257606,0.645085111
grid-001-l,obs-5,R,U,2,9,1,3,0.690791999,1,24,0.53534717,0.852712006,0.852712006,0.833922016,0.612329412,0.680009988,0.550010442,0.870003632,0.350018159,0.460014527,0.86,0.910237322,0.760519882,0.960139696,0.730630219,0.680477984,0.798624466,0.63713627,0.539910492,0.513354328,0.369099159,0.934089221,0.9924666,0.935799181,0.857683397,0.771922882
grid-002-l,obs-0,L,L,5,4,1,2,0.687383003,1,17,0.6666818,0.309760384,0.309760384,0.783287033,0.370251279,0.84,0.77,0.91,0.56,0.7,0.83,0.910004086,0.990000227,0.980000908,0.960006433,0.920069612,0.445125935,0.409031864,0.334452925,0.294907742,0.296070096,0.46113781,0.472393244,0.466698814,0.476625437,0.460150225
grid-002-l,obs-1,R,L,14,7,6,8,0.008299014,4.54E-05,17,0.00027913,0.15763369,0.15763369,4.97E-05,0.034976226,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,0.016802438,4.54E-05,0.009034282,0.033156231,0.040007659,0.032503496,0.026784475,0.025375499,0.020381766,0.059989559,0.064581138,0.054364883,0.077126438,0.0608771
grid-002-l,obs-2,R,U,7,14,4,6,0.007675028,4.54E-05,17,0.16670509,0.119378742,0.119378742,0.160003442,0.182423756,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,0.030033583,0.005039944,0.025039021,0.035038582,0.056570251,0.052563432,0.047106818,0.042702925,0.03563548,0.089822284,0.09721383,0.085497421,0.128687109,0.108363206
grid-002-l,obs-3,L,U,4,7,3,5,0.726382129,0.499600026,17,0.33344219,0.409042052,0.409042052,0.620704142,0.372472896,0.364728275,0.28980408,0.389703007,0.1948937,0.214866886,0.249855708,0.585203768,0.610031903,0.574531092,0.629226139,0.649308223,0.415471175,0.414257957,0.332843484,0.287581832,0.227326851,0.505433529,0.510583345,0.487678854,0.521195095,0.565280397
grid-002-l,obs-4,L,L,8,1,4,6,0.314364158,1,17,0.99998482,0.651379754,0.651379754,0.366070673,0.28288419,0.85,0.72,0.91,0.43,0.69,0.32,0.974987888,0.839961141,0.964976302,0.819949668,0.834192936,0.604731494,0.515482784,0.55172319,0.476696008,0.459513356,0.586755486,0.563779616,0.613996994,0.559493767,0.498283478
grid-002-l,obs-5,R,U,4,14,4,6,0.00804942,4.54E-05,17,0.00605605,0.054567504,0.054567504,0.146952609,0.077291366,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,0.020033394,4.54E-05,0.010039396,0.040778451,0.02622077,0.020256171,0.018863981,0.017882286,0.013669944,0.039481962,0.052571776,0.035882043,0.069643662,0.075270149
grid-003-l,obs-0,L,NaN,6,4,2,4,0.43732469,1,17,0.75871783,0.429532391,0.429532391,0.483049967,0.289164175,0.769337717,0.648959651,0.869538645,0.438941542,0.479216847,0.408252911,0.879603138,0.76994339,0.940002724,0.709744959,0.651773639,0.527600667,0.544391545,0.435827013,0.448426766,0.363702724,0.56821107,0.568720025,0.57759821,0.571618714,0.548760156
grid-003-l,obs-1,L,L,8,3,3,5,0.017764757,1,17,1,0.420563716,0.420563716,0.715350121,0.432978824,0.675014301,0.570017707,0.79000908,0.400022702,0.430020887,0.490019977,0.860006356,0.720012711,0.940002724,0.620017251,0.560019975,0.280518628,0.259678433,0.221568844,0.235858362,0.202590592,0.31092489,0.303821742,0.293020554,0.29270601,0.286088836
grid-003-l,obs-2,R,U,7,14,2,4,0.010284859,4.54E-05,17,0.08498765,0.103784464,0.103784464,0.324749855,0.299030038,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,0.035036639,0.010044944,4.54E-05,0.040042213,0.070343879,0.071408791,0.061752622,0.05291582,0.051050428,0.090784957,0.07958692,0.078734427,0.076965095,0.078663026
grid-003-l,obs-3,R,U,5,17,5,7,0.011905504,4.54E-05,17,4.54E-05,0.072656475,0.072656475,5.74E-05,0.052294634,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,0.010046074,0.010044933,4.54E-05,0.010044906,0.007756259,0.007517878,0.007212675,0.007667824,0.005518016,0.010039937,0.010574107,0.009677804,0.011098622,0.011582795
grid-003-l,obs-4,L,U,1,9,4,6,0.894034782,1,17,0.1921029,0.875801675,0.875801675,0.32104393,0.269131886,0.875,0.750000454,0.910000454,0.600002724,0.640002724,0.430004994,0.920003632,0.969308127,1,0.918617163,0.820207475,0.749122095,0.748022891,0.747045331,0.598924145,0.523543938,0.829820148,0.767470418,0.907506147,0.738631778,0.734983798
grid-003-l,obs-5,R,L,13,9,3,5,0.013027489,4.54E-05,17,0.25003405,0.14598242,0.14598242,0.542128947,0.398412885,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,0.040043582,0.010044944,4.54E-05,0.040043582,0.091593273,0.085564437,0.074095104,0.071181854,0.066886993,0.11006499,0.095563215,0.097884487,0.097017483,0.09666138
grid-004-l,obs-0,L,L,5,6,3,5,0.635067712,0.999996261,15,0.66034797,0.88401288,0.88401288,0.479984146,0.47447638,0.846354183,0.694390848,0.912409332,0.634685758,0.662567597,0.501188678,0.93198675,0.888099969,0.942027095,0.883832098,0.844459818,0.693326737,0.684908571,0.60266187,0.49996287,0.500564293,0.839554436,0.80558343,0.865778795,0.824283242,0.818375865
