,grid,obstacle,goal_dist,start_dist,wall_dist,center_dist,dVGC,sVGC,Moves
0,grid-000-l,obs-0,5,6,1,2,0.3291810230585742,0.0757793488426626,16
1,grid-000-l,obs-1,1,10,4,6,0.868473363371325,0.9999999999999997,16
2,grid-000-l,obs-2,9,8,2,4,0.008547574874105492,4.539786870243438e-05,16
3,grid-000-l,obs-3,15,2,4,6,0.009011396766498815,4.539786870243438e-05,16
4,grid-000-l,obs-4,7,3,3,5,0.30552610654651474,0.9989649692043756,16
5,grid-000-l,obs-5,13,3,2,4,0.009408958388550234,4.539786870243795e-05,16
6,grid-001-l,obs-0,1,11,4,6,0.01048100318173312,4.53978687024344e-05,17
7,grid-001-l,obs-1,9,4,6,8,0.439079169006177,0.9432360839570716,17
8,grid-001-l,obs-2,13,3,6,8,0.010106681639528364,4.53978687024344e-05,17
9,grid-001-l,obs-3,8,7,1,3,0.014723313993387,0.9999999999999999,17
10,grid-001-l,obs-4,4,6,1,3,0.5478195770166567,0.9999999999999999,17
11,grid-001-l,obs-5,7,13,6,8,0.011728741655748968,4.53978687024344e-05,17
12,grid-002-l,obs-0,4,7,1,2,0.019604390444327036,0.9999999999999999,18
13,grid-002-l,obs-1,7,5,1,3,0.378294300639783,0.9999999999999999,18
14,grid-002-l,obs-2,14,2,4,6,0.012208722192874326,0.9239892146215817,18
15,grid-002-l,obs-3,7,7,3,5,0.013382637788343008,4.539786870243439e-05,18
16,grid-002-l,obs-4,1,11,4,6,0.2043200093913247,0.9999999999999999,18
17,grid-002-l,obs-5,14,2,4,6,0.010330457240124429,4.539786870243439e-05,18
18,grid-003-l,obs-0,6,11,2,4,0.012611177485729486,4.5397868702434395e-05,16
19,grid-003-l,obs-1,8,8,3,5,0.011150935882118703,4.5397868702434395e-05,16
20,grid-003-l,obs-2,7,5,2,4,0.46502057613168896,0.9999940241413802,16
21,grid-003-l,obs-3,5,7,5,7,0.04228063188636677,0.0003458775998677108,16
22,grid-003-l,obs-4,1,13,4,6,0.2660294703305466,0.9999999999999999,16
23,grid-003-l,obs-5,11,3,1,3,0.010686313553697094,4.5397868702434395e-05,16
24,grid-004-l,obs-0,5,9,3,5,0.010847844704538975,4.5397868702434395e-05,15
25,grid-004-l,obs-1,1,7,3,5,0.8568369968598362,0.9999999999999998,15
26,grid-004-l,obs-2,2,10,4,6,0.011846988295746512,4.5397868702434395e-05,15
27,grid-004-l,obs-3,9,5,3,5,0.012275192691978316,4.5397868702434395e-05,15
28,grid-004-l,obs-4,10,2,4,6,0.010990579503282909,4.5397868702434395e-05,15
29,grid-004-l,obs-5,5,4,2,4,0.6134027976020566,0.9999999999999998,15
30,grid-005-l,obs-0,4,7,3,5,0.6492542588534688,1.0000000000000002,15
31,grid-005-l,obs-1,16,4,4,6,0.009896091044037618,4.5397868702434395e-05,15
32,grid-005-l,obs-2,10,8,2,4,0.010815013783841112,4.5397868702434395e-05,15
33,grid-005-l,obs-3,13,1,1,3,0.011380504700643262,4.5397868702434395e-05,15
34,grid-005-l,obs-4,2,7,3,5,0.6153954902099397,0.9240147105489905,15
35,grid-005-l,obs-5,7,2,3,5,0.15982187036120743,0.9240147105489906,15
36,grid-006-l,obs-0,4,8,1,3,0.007854100106496276,4.539786870243439e-05,16
37,grid-006-l,obs-1,3,6,1,3,0.7278354632587866,1.0,16
38,grid-006-l,obs-2,7,3,2,4,0.3360623003194891,1.0,16
39,grid-006-l,obs-3,10,5,2,4,0.007454739084132057,4.539786870243439e-05,16
40,grid-006-l,obs-4,6,11,4,6,0.009584664536741217,4.539786870243439e-05,16
41,grid-006-l,obs-5,1,11,4,6,0.8229499467518654,1.0,16
42,grid-007-l,obs-0,2,9,2,4,0.820889568512732,1.0000000000000002,16
43,grid-007-l,obs-1,5,3,2,4,0.5953061631540454,1.0000000000000002,16
44,grid-007-l,obs-2,6,5,1,2,0.004786915763579549,4.539786870243439e-05,16
45,grid-007-l,obs-3,7,8,3,5,0.005318795292866166,4.53978687024344e-05,16
46,grid-007-l,obs-4,1,10,3,5,0.8569908915630614,0.4996250223197182,16
47,grid-007-l,obs-5,11,4,3,5,0.005651219998670302,4.539786870243439e-05,16
48,grid-008-l,obs-0,1,9,2,4,0.8197593245129977,1.0000000000000002,16
49,grid-008-l,obs-1,5,3,2,4,0.5957715577421712,1.0000000000000002,16
50,grid-008-l,obs-2,9,7,3,5,0.00432152117545376,4.539786870243429e-05,16
51,grid-008-l,obs-3,1,8,1,3,0.855794162622166,0.49962502231972433,16
52,grid-008-l,obs-4,7,8,3,5,0.005651219998670301,4.539786870243429e-05,16
53,grid-008-l,obs-5,9,2,1,3,0.005252310351705339,4.5397868704566587e-05,16
54,grid-009-l,obs-0,8,3,2,4,0.2902563322430975,1.0,14
55,grid-009-l,obs-1,3,6,1,3,0.7028979995436251,1.0,14
56,grid-009-l,obs-2,3,14,5,7,0.012702517684642893,4.539786870243504e-05,14
57,grid-009-l,obs-3,6,6,1,2,0.010572754240511153,4.539786870243504e-05,14
58,grid-009-l,obs-4,8,1,2,4,0.0263938541112041,0.4996750160454704,14
59,grid-009-l,obs-5,2,9,1,2,0.008823305697117222,4.539786870243504e-05,14
60,grid-010-l,obs-0,12,2,5,7,0.010056344055345558,4.539786870243438e-05,15
61,grid-010-l,obs-1,6,6,1,3,0.013337137151415743,4.539786870243443e-05,15
62,grid-010-l,obs-2,2,8,1,3,0.011982026959560667,4.539786870243452e-05,15
63,grid-010-l,obs-3,6,5,4,6,0.5782754439768919,0.9999544702999553,15
64,grid-010-l,obs-4,9,6,3,5,0.01290920761714572,4.539786870243438e-05,15
65,grid-010-l,obs-5,7,1,1,3,0.5715712146066614,0.9999999999999993,15
66,grid-011-l,obs-0,11,2,4,6,0.007553862322648452,4.5397868702434395e-05,16
67,grid-011-l,obs-1,6,8,2,4,0.009458749343142408,4.5397868702434395e-05,16
68,grid-011-l,obs-2,1,7,1,3,0.44541513399894916,1.0000000000000002,16
69,grid-011-l,obs-3,5,6,4,6,0.6555438780872312,0.9999999979289299,16
70,grid-011-l,obs-4,8,5,3,5,0.008473462953231741,4.5397868702434395e-05,16
71,grid-011-l,obs-5,8,3,1,3,0.5241723594324753,1.0000000000000002,16
