,grid,obstacle,goal_dist,start_dist,wall_dist,center_dist,dVGC,sVGC,Moves
0,grid-000-l,obs-0,5,6,1,2,0.01224788657392,1.0,16
1,grid-000-l,obs-1,5,10,4,6,0.010517206949344347,4.539786870243439e-05,16
2,grid-000-l,obs-2,1,8,2,4,0.7937828662717186,1.0,16
3,grid-000-l,obs-3,8,2,4,6,0.013912001597550435,4.539786870243439e-05,16
4,grid-000-l,obs-4,10,3,3,5,0.013512613991879132,4.539786870243439e-05,16
5,grid-000-l,obs-5,5,3,2,4,0.6005458297277518,1.0,16
6,grid-001-l,obs-0,5,11,4,6,0.008940767415869863,4.539786870243439e-05,17
7,grid-001-l,obs-1,15,4,6,8,0.01142431392027816,4.539786870243439e-05,17
8,grid-001-l,obs-2,9,3,6,8,0.05507264373525395,0.0019255685339436602,17
9,grid-001-l,obs-3,4,7,1,3,0.719483422327086,1.0000000000000004,17
10,grid-001-l,obs-4,10,6,1,3,0.013411151123804796,4.539786870243439e-05,17
11,grid-001-l,obs-5,1,13,6,8,0.842915683596177,0.9932904686337436,17
12,grid-002-l,obs-0,4,6,1,2,0.4696054868397919,1.0,18
13,grid-002-l,obs-1,7,12,1,3,0.00908611290228032,4.539786870243439e-05,18
14,grid-002-l,obs-2,14,10,4,6,0.009848173984407061,4.539786870243439e-05,18
15,grid-002-l,obs-3,7,2,3,5,0.25112843660238027,1.0,18
16,grid-002-l,obs-4,1,9,4,6,0.8441291986634639,1.0,18
17,grid-002-l,obs-5,14,7,4,6,0.008734392402837214,4.539786870243439e-05,18
18,grid-003-l,obs-0,6,3,2,4,0.4648411537950288,1.0,16
19,grid-003-l,obs-1,8,2,3,5,0.016482786122557498,1.0,16
20,grid-003-l,obs-2,7,13,2,4,0.0098365013957198,4.539786870243439e-05,16
21,grid-003-l,obs-3,5,16,5,7,0.013957197926359176,4.539786870243439e-05,16
22,grid-003-l,obs-4,1,8,4,6,0.8822278346404371,1.0,16
23,grid-003-l,obs-5,11,8,1,3,0.01183038681377111,4.539786870243439e-05,16
24,grid-004-l,obs-0,5,7,3,5,0.6375829350074912,0.4996500190567315,15
25,grid-004-l,obs-1,1,11,3,5,0.010915317114931872,4.539786870243372e-05,15
26,grid-004-l,obs-2,2,9,4,6,0.011557394592280805,4.539786870243372e-05,15
27,grid-004-l,obs-3,9,1,3,5,0.2912178069487052,0.9999999999999996,15
28,grid-004-l,obs-4,10,6,4,6,0.012342155953485057,4.539786870243372e-05,15
29,grid-004-l,obs-5,5,10,2,4,0.011842762359991436,4.539786870243565e-05,15
