,grid,obstacle,goal_dist,start_dist,wall_dist,center_dist,dVGC,sVGC,Moves
0,grid-000-l,obs-0,7,6,1,2,0.011968880909634957,4.5397868702434395e-05,16
1,grid-000-l,obs-1,5,10,4,6,0.0124343373894541,4.5397868702434395e-05,16
2,grid-000-l,obs-2,1,8,2,4,0.8372232196289638,0.9999999999999998,16
3,grid-000-l,obs-3,9,2,4,6,0.010838486601502767,4.5397868702434395e-05,16
4,grid-000-l,obs-4,12,3,3,5,0.01316576900059846,4.5397868702434395e-05,16
5,grid-000-l,obs-5,5,3,2,4,0.36731165636013047,0.9999999999999998,16
6,grid-001-l,obs-0,5,11,4,6,0.008940767415869863,4.539786870243439e-05,17
7,grid-001-l,obs-1,15,4,6,8,0.01142431392027816,4.539786870243439e-05,17
8,grid-001-l,obs-2,9,3,6,8,0.05507264373525395,0.0019255685339436602,17
9,grid-001-l,obs-3,4,7,1,3,0.719483422327086,1.0000000000000004,17
10,grid-001-l,obs-4,10,6,1,3,0.013411151123804796,4.539786870243439e-05,17
11,grid-001-l,obs-5,1,13,6,8,0.842915683596177,0.9932904686337436,17
12,grid-002-l,obs-0,4,6,1,2,0.35423748681280115,1.0,18
13,grid-002-l,obs-1,7,12,1,3,0.012366662759348277,4.539786870243439e-05,18
14,grid-002-l,obs-2,14,10,4,6,0.0131285898487868,4.539786870243439e-05,18
15,grid-002-l,obs-3,7,3,3,5,0.08914546946430676,1.0,18
16,grid-002-l,obs-4,1,9,4,6,0.8404055796506861,1.0,18
17,grid-002-l,obs-5,14,5,4,6,0.011253077013245827,4.539786870243439e-05,18
18,grid-003-l,obs-0,6,7,2,4,0.04321887843033274,0.9999999999999993,16
19,grid-003-l,obs-1,8,1,3,5,0.20369879358345525,0.9999544611947488,16
20,grid-003-l,obs-2,7,9,2,4,0.01160015908789608,4.539786870243438e-05,16
21,grid-003-l,obs-3,5,12,5,7,0.016107649476335695,4.539786870243438e-05,16
22,grid-003-l,obs-4,1,9,4,6,0.3828715365239299,0.9999999999999993,16
23,grid-003-l,obs-5,11,4,1,3,0.011997878828052519,4.539786870243438e-05,16
24,grid-004-l,obs-0,5,6,3,5,0.6365711025531302,0.9999962609497961,15
25,grid-004-l,obs-1,1,15,3,5,0.012623020967051774,4.539786870243438e-05,15
26,grid-004-l,obs-2,2,11,4,6,0.012337754956496931,4.539786870243438e-05,15
27,grid-004-l,obs-3,9,3,3,5,0.36185993438881764,0.9999999999999994,15
28,grid-004-l,obs-4,10,10,4,6,0.012052488945942085,4.539786870243438e-05,15
29,grid-004-l,obs-5,5,14,2,4,0.011909855940664666,4.539786870243438e-05,15
30,grid-005-l,obs-0,4,9,3,5,0.013037902536335163,4.5397868702434395e-05,15
31,grid-005-l,obs-1,16,4,4,6,0.010758050726702788,4.5397868702434395e-05,15
32,grid-005-l,obs-2,10,3,2,4,0.35679680820746695,0.9999999999999998,15
33,grid-005-l,obs-3,13,8,1,3,0.011826731262467962,4.5397868702434395e-05,15
